X,name,handedness,height,weight,avg,HR,HR_normalized,avg_normalized
124,Dick Simpson,R,76,176,0.207,15,0.0266429840142096,0.63109756097561
125,Ken Boswell,L,72,170,0.248,31,0.0550621669626998,0.75609756097561
126,Ken McMullen,R,75,190,0.248,156,0.27708703374778,0.75609756097561
127,Randy Scarbery,B,73,185,0,0,0,0
128,Steve Swisher,R,74,205,0.216,20,0.0355239786856128,0.658536585365854
129,Ben Callahan,R,79,230,0,0,0,0
130,Dick Howser,R,68,155,0.248,16,0.0284191829484902,0.75609756097561
131,Manny Castillo,B,69,160,0.242,3,0.00532859680284192,0.73780487804878
132,Mike Ramsey,B,73,170,0.24,2,0.00355239786856128,0.731707317073171
133,Willie Crawford,L,73,197,0.268,86,0.152753108348135,0.817073170731707
134,Bobby Cuellar,R,71,188,0,0,0,0
135,Willie Norwood,R,72,185,0.242,18,0.0319715808170515,0.73780487804878
136,Mike Jones,L,78,215,0,0,0,0
137,Jeff Stone,L,72,175,0.277,11,0.019538188277087,0.844512195121951
138,Ramon Manon,R,72,150,0,0,0,0
139,Joe Lahoud,L,73,198,0.223,65,0.115452930728242,0.679878048780488
140,Tim Flannery,L,71,175,0.255,9,0.0159857904085258,0.777439024390244
141,Dave McKay,B,73,195,0.229,21,0.0373001776198934,0.698170731707317
142,John Trautwein,R,75,205,0,0,0,0
143,Andy Replogle,R,77,205,0,0,0,0
144,Zach Crouch,L,75,180,0,0,0,0
145,Benny Ayala,R,73,185,0.251,38,0.0674955595026643,0.765243902439024
146,Ron Romanick,R,76,195,0,0,0,0
147,Greg Gross,L,70,160,0.287,7,0.0124333925399645,0.875
148,Bruce Tanner,L,75,220,0,0,0,0
149,Sal Butera,R,72,190,0.227,8,0.0142095914742451,0.692073170731707
150,Jack Brohamer,L,70,165,0.245,30,0.0532859680284192,0.746951219512195
151,Von Joshua,L,70,170,0.273,30,0.0532859680284192,0.832317073170732
152,Eddie Milner,L,71,173,0.253,42,0.0746003552397869,0.771341463414634
153,Johnny Jeter,R,73,180,0.244,18,0.0319715808170515,0.74390243902439
154,Angel Salazar,R,72,180,0.212,2,0.00355239786856128,0.646341463414634
155,Tony Oliva,L,73,175,0.304,220,0.390763765541741,0.926829268292683
156,Cito Gaston,R,75,190,0.256,91,0.161634103019538,0.780487804878049
157,Cookie Rojas,R,70,160,0.263,54,0.0959147424511545,0.801829268292683
158,Rich Morales,R,71,170,0.195,6,0.0106571936056838,0.594512195121951
159,Dave Ford,R,76,190,0,0,0,0
160,Dan Ford,R,73,185,0.27,121,0.214920071047957,0.823170731707317
161,Barry Raziano,B,70,175,0,0,0,0
162,Darryl Motley,R,69,196,0.243,44,0.0781527531083481,0.740853658536585
163,Ozzie Virgil,R,73,180,0.243,98,0.174067495559503,0.740853658536585
164,Johnny Oates,L,71,188,0.25,14,0.024866785079929,0.76219512195122
165,Pat Underwood,L,72,175,0,0,0,0
166,Mike Phillips,L,72,170,0.24,11,0.019538188277087,0.731707317073171
167,Ron Santo,R,72,190,0.277,342,0.607460035523979,0.844512195121951
168,Jay Johnstone,L,73,175,0.267,102,0.181172291296625,0.814024390243902
169,Jim Ray Hart,R,71,185,0.278,170,0.301953818827709,0.847560975609756
170,Marc Hill,R,75,205,0.223,34,0.0603907637655417,0.679878048780488
171,Joel McKeon,L,72,185,0,0,0,0
172,Danny Fife,R,75,175,0,0,0,0
173,Chico Salmon,R,70,160,0.249,31,0.0550621669626998,0.759146341463415
174,Joe Niekro,R,73,185,0.156,1,0.00177619893428064,0.475609756097561
175,Andy Etchebarren,R,73,190,0.235,49,0.0870337477797513,0.716463414634146
176,Ken Berry,R,72,175,0.255,58,0.103019538188277,0.777439024390244
177,Dave Concepcion,R,74,155,0.267,101,0.179396092362345,0.814024390243902
178,Junior Moore,R,71,185,0.264,7,0.0124333925399645,0.804878048780488
179,Mike Richardt,R,72,170,0.226,4,0.00710479573712256,0.689024390243902
180,Chris Brown,R,72,185,0.269,38,0.0674955595026643,0.820121951219512
181,Al Bumbry,L,68,170,0.281,54,0.0959147424511545,0.856707317073171
182,Al Downing,R,71,175,0.127,2,0.00355239786856128,0.38719512195122
183,Bob Didier,B,72,190,0.229,0,0,0.698170731707317
184,Jake Gibbs,L,72,180,0.233,25,0.044404973357016,0.710365853658537
185,Garry Hancock,L,72,175,0.247,12,0.0213143872113677,0.753048780487805
186,Ed Kranepool,L,75,205,0.261,118,0.209591474245115,0.795731707317073
187,Rick Rhoden,R,75,195,0.238,9,0.0159857904085258,0.725609756097561
188,Denny McLain,R,73,185,0.133,1,0.00177619893428064,0.405487804878049
189,Chuck Hiller,L,71,170,0.243,20,0.0355239786856128,0.740853658536585
190,Jorge Orta,L,70,170,0.278,130,0.230905861456483,0.847560975609756
191,Dave Cash,R,71,170,0.283,21,0.0373001776198934,0.86280487804878
192,Bucky Dent,R,69,170,0.247,40,0.0710479573712256,0.753048780487805
193,Andy Beene,R,75,205,0,0,0,0
194,Bruce Robbins,L,73,190,0,0,0,0
195,Tony Gonzalez,L,69,170,0.286,103,0.182948490230906,0.871951219512195
196,Leon Hooten,R,71,180,0,0,0,0
197,Larry Haney,R,74,195,0.215,12,0.0213143872113677,0.655487804878049
198,Billy Conigliaro,R,72,180,0.256,40,0.0710479573712256,0.780487804878049
199,Gary Roenicke,R,75,205,0.247,121,0.214920071047957,0.753048780487805
200,Don Lock,R,74,195,0.238,122,0.216696269982238,0.725609756097561
201,Billy Cowan,R,72,170,0.236,40,0.0710479573712256,0.719512195121951
202,Billy Smith,B,74,185,0.23,17,0.0301953818827709,0.701219512195122
203,Allan Ramirez,R,70,180,0,0,0,0
204,Tony Perez,R,74,175,0.279,379,0.673179396092362,0.850609756097561
205,Chuck Schilling,R,70,160,0.239,23,0.0408525754884547,0.728658536585366
206,Hal McRae,R,71,180,0.29,191,0.339253996447602,0.884146341463415
207,Dave Roberts,R,75,215,0.239,49,0.0870337477797513,0.728658536585366
208,Brian Allard,R,73,175,0,0,0,0
209,Jim Lefebvre,B,72,180,0.251,74,0.131438721136767,0.765243902439024
210,Fernando Arroyo,R,74,180,0,0,0,0
211,Gary Beare,R,76,205,0,0,0,0
212,Charlie Spikes,R,75,215,0.246,65,0.115452930728242,0.75
213,Brian Dubois,L,70,165,0,0,0,0
214,Steve Whitaker,L,72,180,0.23,24,0.0426287744227353,0.701219512195122
215,Manny Jimenez,L,73,185,0.272,26,0.0461811722912966,0.829268292682927
216,Chris Batton,R,76,195,0,0,0,0
217,Duffy Dyer,R,72,187,0.221,30,0.0532859680284192,0.673780487804878
218,Ken Henderson,B,74,180,0.257,122,0.216696269982238,0.783536585365854
219,Vance Lovelace,L,77,205,0,0,0,0
220,Greg Thayer,R,71,182,0,0,0,0
221,Vern Fuller,R,73,170,0.232,14,0.024866785079929,0.707317073170732
222,Paul Hartzell,R,77,200,0,0,0,0
223,Wayne Gross,L,74,210,0.233,121,0.214920071047957,0.710365853658537
224,Mike Champion,R,72,185,0.229,2,0.00355239786856128,0.698170731707317
225,Ralph Botting,L,72,195,0,0,0,0
226,Paul Casanova,R,76,180,0.225,50,0.088809946714032,0.685975609756098
227,Steve Rogers,R,74,175,0.138,0,0,0.420731707317073
228,Keith Creel,R,74,180,0,0,0,0
229,Terry Crowley,L,72,180,0.25,42,0.0746003552397869,0.76219512195122
230,Horace Clarke,B,69,170,0.256,27,0.0479573712255773,0.780487804878049
231,Lou Clinton,R,73,185,0.247,65,0.115452930728242,0.753048780487805
232,Larry Cox,R,70,178,0.221,12,0.0213143872113677,0.673780487804878
233,Nate Colbert,R,74,190,0.243,173,0.307282415630551,0.740853658536585
234,Phil Roof,R,74,190,0.215,43,0.0763765541740675,0.655487804878049
235,Chuck Hinton,R,73,180,0.264,113,0.200710479573712,0.804878048780488
236,Tim Cullen,R,73,185,0.22,9,0.0159857904085258,0.670731707317073
237,Tim Harkness,L,74,182,0.235,14,0.024866785079929,0.716463414634146
238,Rick Bosetti,R,71,185,0.25,17,0.0301953818827709,0.76219512195122
239,Ron Pruitt,R,72,185,0.269,12,0.0213143872113677,0.820121951219512
240,George Foster,R,73,180,0.274,348,0.618117229129662,0.835365853658537
241,Jerry White,B,70,164,0.253,21,0.0373001776198934,0.771341463414634
242,Angel Mangual,R,70,178,0.245,22,0.0390763765541741,0.746951219512195
243,Ken Gerhart,R,72,190,0.221,24,0.0426287744227353,0.673780487804878
244,Mike Hershberger,R,70,175,0.252,26,0.0461811722912966,0.768292682926829
245,Jim French,L,68,180,0.196,5,0.0088809946714032,0.597560975609756
246,Dave Roberts,L,75,195,0.194,7,0.0124333925399645,0.591463414634146
247,Jim Mason,L,74,185,0.203,12,0.0213143872113677,0.61890243902439
248,Mike Smith,R,75,180,0,0,0,0
249,Willie Smith,L,72,182,0.248,46,0.0817051509769094,0.75609756097561
250,T.R. Bryden,R,76,190,0,0,0,0
251,Jose Arcia,R,75,170,0.215,1,0.00177619893428064,0.655487804878049
252,Leon Durham,L,73,185,0.277,147,0.261101243339254,0.844512195121951
253,Tom Makowski,R,71,185,0,0,0,0
254,Paul Householder,B,72,180,0.236,29,0.0515097690941385,0.719512195121951
255,Aurelio Rodriguez,R,70,180,0.237,124,0.220248667850799,0.722560975609756
256,Jimmy Stewart,B,72,165,0.237,8,0.0142095914742451,0.722560975609756
257,Dick Phillips,L,72,180,0.229,12,0.0213143872113677,0.698170731707317
258,Andres Thomas,R,73,170,0.234,42,0.0746003552397869,0.713414634146341
259,Ed Crosby,L,74,175,0.22,0,0,0.670731707317073
260,Mike de la Hoz,R,71,175,0.251,25,0.044404973357016,0.765243902439024
261,Frank Taveras,R,72,155,0.255,2,0.00355239786856128,0.777439024390244
262,Joe Nossek,R,72,178,0.228,3,0.00532859680284192,0.695121951219512
263,Larry Stahl,L,72,175,0.232,36,0.063943161634103,0.707317073170732
264,Jose Cruz,L,72,170,0.284,165,0.293072824156306,0.865853658536585
265,Don Mason,L,71,160,0.205,3,0.00532859680284192,0.625
266,Bill Robinson,R,74,189,0.258,166,0.294849023090586,0.786585365853659
267,Jim Umbarger,L,78,200,0,0,0,0
268,Sal Bando,R,72,195,0.254,242,0.429840142095915,0.774390243902439
269,George Mitterwald,R,74,195,0.236,76,0.134991119005329,0.719512195121951
270,Mike Darr,R,76,190,0,0,0,0
271,Craig Robinson,R,70,165,0.219,0,0,0.667682926829268
272,Bob Tillman,R,76,205,0.232,79,0.140319715808171,0.707317073170732
273,Curt Wardle,L,77,220,0,0,0,0
274,Pat Corrales,R,72,180,0.216,4,0.00710479573712256,0.658536585365854
275,Mike Tyson,R,69,170,0.241,27,0.0479573712255773,0.734756097560976
276,Rafael Landestoy,B,70,165,0.237,4,0.00710479573712256,0.722560975609756
277,Duane Josephson,R,72,190,0.258,23,0.0408525754884547,0.786585365853659
278,Duane Walker,L,72,185,0.229,24,0.0426287744227353,0.698170731707317
279,Glenn Hubbard,R,69,150,0.244,70,0.124333925399645,0.74390243902439
280,Roger Freed,R,72,190,0.245,22,0.0390763765541741,0.746951219512195
281,George Hendrick,R,75,195,0.278,267,0.474245115452931,0.847560975609756
282,Rod Carew,L,72,170,0.328,92,0.163410301953819,1
283,Bob Davis,R,72,180,0.197,6,0.0106571936056838,0.600609756097561
284,Toby Harrah,R,72,175,0.264,195,0.346358792184725,0.804878048780488
285,Rick Manning,L,73,180,0.257,56,0.0994671403197158,0.783536585365854
286,Israel Sanchez,L,69,170,0,0,0,0
287,Steve Burke,B,74,200,0,0,0,0
288,Gary Matthews,R,74,185,0.281,234,0.41563055062167,0.856707317073171
289,Cesar Geronimo,L,72,165,0.258,51,0.0905861456483126,0.786585365853659
290,Billy Bryan,L,76,200,0.216,41,0.0728241563055062,0.658536585365854
291,Terry Taylor,R,73,180,0,0,0,0
292,Terry Whitfield,L,73,197,0.281,33,0.0586145648312611,0.856707317073171
293,Mario Mendoza,R,71,170,0.215,4,0.00710479573712256,0.655487804878049
294,Fred Lynn,L,73,185,0.283,306,0.543516873889876,0.86280487804878
295,Larry Hisle,R,74,193,0.273,166,0.294849023090586,0.832317073170732
296,Graig Nettles,L,72,180,0.248,390,0.692717584369449,0.75609756097561
297,Randy Nosek,R,76,215,0,0,0,0
298,Dave Engle,R,75,210,0.262,31,0.0550621669626998,0.798780487804878
299,Narciso Elvira,L,70,160,0,0,0,0
300,Mike Easler,L,72,190,0.293,118,0.209591474245115,0.893292682926829
301,Mark Smith,R,74,215,0,0,0,0
302,Paul Mitchell,R,73,195,0,0,0,0
303,Rick Sweet,B,73,200,0.234,6,0.0106571936056838,0.713414634146341
304,Thurman Munson,R,71,190,0.292,113,0.200710479573712,0.890243902439024
305,Rick Monday,L,75,193,0.264,241,0.428063943161634,0.804878048780488
306,Mike Sadek,R,69,165,0.226,5,0.0088809946714032,0.689024390243902
307,Mark Belanger,R,73,170,0.228,20,0.0355239786856128,0.695121951219512
308,Ron Hunt,R,72,186,0.273,39,0.0692717584369449,0.832317073170732
309,Joe Keough,L,72,185,0.246,9,0.0159857904085258,0.75
310,Butch Edge,R,75,203,0,0,0,0
311,Vic Correll,R,70,185,0.229,29,0.0515097690941385,0.698170731707317
312,Jackie Hernandez,R,71,165,0.208,12,0.0213143872113677,0.634146341463415
313,Tony Solaita,L,72,210,0.255,50,0.088809946714032,0.777439024390244
314,U L Washington,B,71,175,0.251,27,0.0479573712255773,0.765243902439024
315,Gary Mielke,R,75,185,0,0,0,0
316,Rick Henninger,R,78,225,0,0,0,0
317,Joe Foy,R,72,215,0.248,58,0.103019538188277,0.75609756097561
318,Ed Goodson,L,75,180,0.26,30,0.0532859680284192,0.792682926829268
319,Mark Brown,B,74,190,0,0,0,0
320,Mickey Klutts,R,71,170,0.241,14,0.024866785079929,0.734756097560976
321,Leroy Stanton,R,73,195,0.244,77,0.136767317939609,0.74390243902439
322,Rafael Vasquez,R,72,160,0,0,0,0
323,Len Whitehouse,L,71,175,0,0,0,0
324,Danny Ainge,R,76,175,0.22,2,0.00355239786856128,0.670731707317073
325,Adolfo Phillips,R,73,175,0.247,59,0.104795737122558,0.753048780487805
326,Marv Breeding,R,72,175,0.25,7,0.0124333925399645,0.76219512195122
327,Steve Adkins,R,78,210,0,0,0,0
328,Dick McAuliffe,L,71,176,0.247,197,0.349911190053286,0.753048780487805
329,Joe Horlen,R,72,170,0.134,0,0,0.408536585365854
330,Glenn Burke,R,72,195,0.237,2,0.00355239786856128,0.722560975609756
331,Tony Mack,R,70,177,0,0,0,0
332,Terry Humphrey,R,75,185,0.211,6,0.0106571936056838,0.643292682926829
333,Bill Moran,R,76,210,0,0,0,0
334,Enzo Hernandez,R,68,155,0.224,2,0.00355239786856128,0.682926829268293
335,Cesar Gutierrez,R,69,155,0.235,0,0,0.716463414634146
336,Coco Laboy,R,70,165,0.233,28,0.0497335701598579,0.710365853658537
337,Ted Kubiak,B,72,175,0.231,13,0.0230905861456483,0.704268292682927
338,Jim Morrison,R,71,175,0.26,112,0.198934280639432,0.792682926829268
339,Tom Gilles,R,73,185,0,0,0,0
340,Bobby Knoop,R,73,170,0.236,56,0.0994671403197158,0.719512195121951
341,Bobby Brown,B,74,190,0.245,26,0.0461811722912966,0.746951219512195
342,Tom Hutton,L,71,180,0.248,22,0.0390763765541741,0.75609756097561
343,Ron Hodges,L,73,185,0.24,19,0.0337477797513321,0.731707317073171
344,Rich Chiles,L,71,170,0.254,6,0.0106571936056838,0.774390243902439
345,Tom Paciorek,R,76,215,0.282,86,0.152753108348135,0.859756097560975
346,Gary Woods,R,74,185,0.243,13,0.0230905861456483,0.740853658536585
347,Bob Montgomery,R,73,195,0.258,23,0.0408525754884547,0.786585365853659
348,Jeff Burroughs,R,73,200,0.261,240,0.426287744227353,0.795731707317073
349,Rusty Staub,L,74,190,0.279,292,0.518650088809947,0.850609756097561
350,Jim Norris,L,70,175,0.264,7,0.0124333925399645,0.804878048780488
351,Oscar Gamble,L,71,160,0.265,200,0.355239786856128,0.807926829268293
352,Bob Kammeyer,R,76,210,0,0,0,0
353,George Vukovich,L,72,198,0.268,27,0.0479573712255773,0.817073170731707
354,Joe Pactwa,L,71,185,0,0,0,0
355,Craig Reynolds,L,73,175,0.256,42,0.0746003552397869,0.780487804878049
356,Paul Blair,R,72,168,0.25,134,0.238010657193606,0.76219512195122
357,Al Cowens,R,73,197,0.27,108,0.191829484902309,0.823170731707317
358,Al Oliver,L,72,195,0.303,219,0.38898756660746,0.923780487804878
359,Dave Hilton,R,71,191,0.213,6,0.0106571936056838,0.649390243902439
360,Luis Alvarado,R,69,162,0.214,5,0.0088809946714032,0.652439024390244
361,Larry Parrish,R,75,190,0.263,256,0.454706927175844,0.801829268292683
362,Woodie Fryman,R,75,197,0.138,2,0.00355239786856128,0.420731707317073
363,Bob Randall,R,74,175,0.257,1,0.00177619893428064,0.783536585365854
364,Jim Pankovits,R,70,170,0.25,9,0.0159857904085258,0.76219512195122
365,Sherman Corbett,L,76,205,0,0,0,0
366,Carmen Fanzone,R,72,200,0.224,20,0.0355239786856128,0.682926829268293
367,Gary Allenson,R,71,185,0.221,19,0.0337477797513321,0.673780487804878
368,Milt May,L,72,190,0.263,77,0.136767317939609,0.801829268292683
369,Mike Vail,R,73,180,0.279,34,0.0603907637655417,0.850609756097561
370,Nick Esasky,R,75,200,0.25,122,0.216696269982238,0.76219512195122
371,Jim Nettles,L,72,186,0.22,16,0.0284191829484902,0.670731707317073
372,Lafayette Currence,B,71,175,0,0,0,0
373,Chris Cannizzaro,R,72,190,0.235,18,0.0319715808170515,0.716463414634146
374,Larry Biittner,L,74,205,0.273,29,0.0515097690941385,0.832317073170732
375,John Pawlowski,R,74,175,0,0,0,0
376,Mel Stottlemyre,R,73,178,0.16,7,0.0124333925399645,0.48780487804878
377,Jack Hardy,R,74,175,0,0,0,0
378,Ron Musselman,R,74,185,0,0,0,0
379,Roy Smalley,B,73,185,0.257,163,0.289520426287744,0.783536585365854
380,Tony Chevez,R,71,177,0,0,0,0
381,Andy Messersmith,R,73,200,0.17,5,0.0088809946714032,0.518292682926829
382,Richie Zisk,R,73,200,0.287,207,0.367673179396092,0.875
383,Dave Chalk,R,70,175,0.252,15,0.0266429840142096,0.768292682926829
384,Don Baylor,R,73,190,0.26,338,0.600355239786856,0.792682926829268
385,John Vukovich,R,73,187,0.161,6,0.0106571936056838,0.490853658536585
386,Danny Thompson,R,72,183,0.248,15,0.0266429840142096,0.75609756097561
387,Joe Simpson,L,75,175,0.242,9,0.0159857904085258,0.73780487804878
388,Bill Fahey,L,72,200,0.241,7,0.0124333925399645,0.734756097560976
389,Doug Camilli,R,71,195,0.199,18,0.0319715808170515,0.606707317073171
390,Bernie Allen,L,72,175,0.239,73,0.129662522202487,0.728658536585366
391,Bruce Bochy,R,75,205,0.239,26,0.0461811722912966,0.728658536585366
392,Gary Ignasiak,R,71,185,0,0,0,0
393,Claudell Washington,L,72,190,0.278,164,0.291296625222025,0.847560975609756
394,John Donaldson,L,71,160,0.238,4,0.00710479573712256,0.725609756097561
395,Mike Smithson,L,80,215,0,0,0,0
396,John Mayberry,L,75,215,0.253,255,0.452930728241563,0.771341463414634
397,Ken Reitz,R,72,180,0.26,68,0.120781527531083,0.792682926829268
